Country,almond,angelica,anise,anise_seed,apple,apple_brandy,apricot,armagnac,artichoke,asparagus,avocado,bacon,balm,banana,barley,bartlett_pear,basil,bay,bean,beech,beef,beef_broth,beef_liver,beer,beet,bell_pepper,bergamot,berry,bitter_orange,black_bean,black_currant,black_mustard_seed_oil,black_pepper,black_raspberry,black_tea,blackberry,blackberry_brandy,blue_cheese,blueberry,bone_oil,bourbon_whiskey,brandy,brassica,bread,broccoli,brown_rice,brussels_sprout,buckwheat,butter,buttermilk,cabbage,cabernet_sauvignon_wine,cacao,camembert_cheese,cane_molasses,caraway,cardamom,carnation,carob,carrot,cashew,cassava,catfish,cauliflower,caviar,cayenne,celery,celery_oil,cereal,chamomile,champagne_wine,chayote,cheddar_cheese,cheese,cherry,cherry_brandy,chervil,chicken,chicken_broth,chicken_liver,chickpea,chicory,chinese_cabbage,chive,cider,cilantro,cinnamon,citrus,clam,clove,cocoa,coconut,coconut_oil,cod,coffee,cognac,concord_grape,condiment,coriander,corn,corn_grit,cottage_cheese,crab,cranberry,cream,cream_cheese,cucumber,cumin,currant,date,dill,durian,egg,egg_noodle,elderberry,endive,fennel,fenugreek,feta_cheese,fig,fish,flower,fruit,galanga,garlic,gelatin,geranium,gin,ginger,goat_cheese,grape,grape_brandy,grape_juice,grapefruit,green_tea,gruyere_cheese,guava,haddock,ham,hazelnut,herring,holy_basil,honey,hop,horseradish,huckleberry,jasmine,jasmine_tea,juniper_berry,kale,katsuobushi,kidney_bean,kiwi,kohlrabi,kumquat,lamb,lard,laurel,lavender,leaf,leek,lemon,lemon_peel,lemongrass,lentil,lettuce,licorice,lilac_flower_oil,lima_bean,lime_peel_oil,lingonberry,litchi,liver,lobster,lovage,macadamia_nut,macaroni,mace,malt,mandarin,mandarin_peel,mango,maple_syrup,marjoram,mate,meat,melon,milk,mint,mozzarella_cheese,mung_bean,munster_cheese,muscat_grape,mushroom,mussel,mustard,mutton,nectarine,nut,nutmeg,oat,oatmeal,octopus,okra,olive,olive_oil,onion,orange,orange_flower,oregano,ouzo,oyster,palm,papaya,parmesan_cheese,parsley,parsnip,passion_fruit,pea,peach,peanut,peanut_butter,peanut_oil,pear,pear_brandy,pecan,pelargonium,peppermint,peppermint_oil,pimenta,pimento,pineapple,pistachio,plum,popcorn,porcini,pork,pork_liver,pork_sausage,port_wine,potato,potato_chip,prawn,prickly_pear,provolone_cheese,pumpkin,quince,radish,raisin,rapeseed,raspberry,red_kidney_bean,red_wine,rhubarb,rice,roasted_meat,romano_cheese,root,roquefort_cheese,rose,rosemary,rum,rutabaga,rye_bread,rye_flour,saffron,sage,sake,salmon,salmon_roe,sassafras,sauerkraut,sausage,savory,scallion,scallop,seaweed,seed,sesame_oil,sesame_seed,shallot,sheep_cheese,shellfish,sherry,shiitake,shrimp,smoke,smoked_fish,smoked_salmon,sour_cherry,sour_milk,soy_sauce,soybean,soybean_oil,spearmint,squash,squid,star_anise,starch,strawberry,sturgeon_caviar,sumac,sunflower_oil,sweet_potato,swiss_cheese,tabasco_pepper,tamarind,tangerine,tarragon,tea,tequila,thai_pepper,thyme,tomato,tomato_juice,truffle,tuna,turkey,turmeric,turnip,vanilla,veal,vegetable_oil,vinegar,violet,walnut,wasabi,watercress,watermelon,wheat_flour,whiskey,white_wine,wine,wood,yam,yeast,yogurt,zucchini
American,4,0,0,0,5,0,1,0,0,0,0,4,0,2,0,0,5,2,2,0,7,1,0,0,0,8,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,41,3,1,0,0,0,16,0,0,0,0,5,0,0,0,0,0,9,7,1,0,0,0,0,5,4,2,0,0,8,5,0,0,0,0,2,2,2,11,0,0,0,10,3,0,0,1,0,0,0,1,8,0,0,1,2,19,6,2,3,0,0,2,0,40,0,0,0,1,1,1,0,1,0,0,0,24,3,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,27,1,1,0,0,0,6,0,8,0,0,1,5,2,0,0,0,2,13,29,7,0,4,0,0,0,0,4,8,0,0,1,1,1,2,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,0,2,0,8,0,0,0,0,1,0,0,3,0,1,0,1,0,4,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,4,2,0,0,0,1,1,1,3,0,0,0,0,0,5,13,0,0,0,1,1,0,19,0,18,13,0,5,0,0,0,41,0,3,1,0,0,6,1,1
British,4,0,0,0,3,0,1,0,0,0,0,5,0,1,1,0,2,2,0,0,12,4,0,2,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,62,10,4,0,0,0,19,2,0,0,0,10,0,0,0,0,0,1,4,0,0,0,0,0,6,5,1,0,0,2,4,0,0,0,0,4,1,0,8,1,0,0,5,0,0,0,1,0,0,0,1,3,0,0,0,1,26,1,4,1,6,1,0,0,50,0,0,0,1,1,0,0,1,0,2,0,8,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40,2,0,0,0,0,4,0,9,0,0,0,6,5,0,0,0,0,8,25,6,0,1,0,0,0,0,1,9,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,0,0,0,0,0,0,0,10,0,3,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,1,0,0,0,6,6,0,0,0,0,1,2,14,0,15,10,0,3,0,0,0,63,2,2,0,0,0,4,0,0
Canadian,3,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,6,2,1,0,9,0,0,1,0,10,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,38,2,1,0,0,0,20,0,0,0,0,7,0,0,0,0,0,10,8,3,0,0,0,0,6,3,2,0,0,10,4,0,0,0,0,1,1,2,10,0,0,0,8,3,0,0,1,0,0,0,3,6,0,0,1,1,15,4,2,6,0,1,2,0,35,0,0,0,1,2,1,0,1,0,0,0,27,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,27,0,2,0,0,0,6,0,8,0,0,1,3,3,0,0,0,1,12,34,5,0,5,0,0,0,0,5,8,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,2,0,11,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,6,1,0,0,0,0,0,3,4,0,0,0,0,0,6,17,0,0,0,0,3,0,17,0,18,15,0,4,0,0,0,41,0,2,0,0,0,6,1,1
Caribbeans,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,2,13,3,0,12,2,0,1,0,27,0,0,0,3,0,0,82,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,24,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,38,15,2,0,0,0,0,0,2,0,0,0,17,12,0,0,0,0,0,1,9,10,0,1,0,0,9,0,0,0,0,0,0,3,9,1,0,5,0,7,1,0,11,0,0,1,0,21,0,0,0,1,2,0,0,3,0,0,0,49,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,3,0,11,1,1,0,0,0,3,0,8,0,0,0,6,0,0,0,4,3,27,59,8,0,13,0,1,0,0,0,9,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,6,0,11,0,7,0,0,0,0,1,0,0,2,0,0,1,3,0,16,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,2,0,18,0,0,2,0,0,3,0,0,3,0,14,5,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,1,0,7,4,0,0,0,0,0,21,30,0,0,0,2,3,0,5,0,32,20,0,0,0,0,0,22,0,6,8,0,0,3,0,0
Chinese,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,10,0,8,0,0,0,0,8,0,0,0,5,0,0,42,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,4,0,12,0,0,0,8,0,0,0,0,7,0,0,0,0,0,20,4,2,0,0,0,0,0,0,0,0,0,22,19,0,0,0,0,1,1,14,3,0,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,2,0,0,1,0,0,0,0,24,1,0,0,0,1,0,0,5,0,0,0,49,0,0,0,53,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,10,0,1,0,0,7,0,0,0,0,0,0,2,12,2,0,0,0,9,0,0,0,0,0,0,8,0,8,1,13,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,2,0,1,38,7,3,0,0,11,8,10,0,0,0,0,0,67,14,0,0,0,0,5,29,0,0,0,0,0,0,1,0,1,0,0,0,2,0,5,0,0,0,0,1,1,1,0,33,29,0,1,0,0,0,16,0,3,22,0,0,1,0,0
East_African,14,0,0,0,3,0,6,0,0,0,0,0,0,2,1,0,1,3,0,0,6,0,0,0,0,28,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,19,0,2,0,0,0,4,7,7,0,0,11,0,1,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,19,16,0,5,0,0,0,0,23,26,0,0,0,0,1,0,3,0,0,0,0,26,3,0,0,0,0,3,0,1,41,1,3,0,0,19,0,0,0,4,6,0,0,7,0,0,0,48,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,44,0,0,2,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,3,0,3,0,1,0,11,5,0,0,0,0,0,0,4,0,0,2,3,0,0,0,1,9,49,53,6,0,0,0,0,0,0,1,18,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,8,0,3,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,24,0,0,1,0,15,3,2,0,17,5,0,2,0,0,0,26,0,3,1,0,0,2,0,3
East_European,3,0,0,0,4,0,4,0,0,0,0,7,0,0,0,0,1,4,0,0,13,5,0,0,5,13,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,52,0,10,0,0,0,6,5,0,0,0,7,0,0,0,0,0,3,5,1,0,0,0,0,2,5,1,1,0,6,5,0,0,0,0,4,1,0,8,0,0,0,4,0,0,0,1,0,0,0,0,3,0,3,0,0,29,4,2,1,1,0,11,0,51,6,0,0,0,0,0,0,1,0,2,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,6,0,0,0,1,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,30,0,1,0,0,0,6,0,3,0,0,1,3,0,0,0,0,0,9,42,4,0,1,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,4,0,21,0,0,0,0,0,0,0,7,0,0,0,3,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,4,0,2,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,0,3,16,0,0,0,0,0,0,14,1,21,13,0,5,0,0,0,51,1,4,0,0,0,12,1,0
French,5,0,1,0,3,0,1,0,1,1,0,4,0,0,0,0,6,9,4,0,6,3,0,0,0,5,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,50,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,3,5,0,0,0,0,0,0,6,1,0,1,7,8,0,0,1,0,6,1,0,4,0,1,0,6,0,0,0,1,2,0,0,2,2,0,0,0,0,27,1,2,1,0,0,0,0,44,0,0,1,4,0,0,0,5,0,1,0,26,1,0,0,3,1,0,0,1,0,0,1,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,4,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,28,1,0,0,0,0,6,1,9,0,0,1,4,0,0,0,0,5,27,25,8,0,1,0,0,0,0,5,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1,1,0,2,0,6,0,1,0,0,0,0,0,4,1,0,0,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,12,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,4,0,0,0,17,12,0,0,1,0,0,0,15,2,10,11,0,2,0,0,0,37,0,12,3,0,0,4,0,2
Indian,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,16,0,0,0,0,0,4,51,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,21,1,0,0,0,0,5,0,14,0,0,9,4,0,0,4,0,47,3,0,0,0,0,0,0,0,0,0,0,20,7,0,4,0,0,0,2,28,16,0,0,0,0,14,0,0,0,0,0,0,47,3,0,0,0,0,9,0,4,60,0,0,0,0,8,0,0,0,2,28,0,0,2,0,0,0,46,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,11,7,0,0,0,0,1,0,9,0,0,1,3,0,0,0,1,0,15,49,1,0,0,0,0,0,0,0,3,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,8,1,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,1,0,0,0,27,0,0,0,0,50,0,2,0,41,8,0,0,0,0,0,13,0,1,0,0,0,1,23,1
Italian,4,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,31,3,4,0,8,1,0,0,0,15,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,12,2,0,0,0,26,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,6,5,0,0,0,0,0,1,18,0,0,0,8,10,0,0,1,0,1,0,0,3,0,1,0,4,0,0,0,1,0,0,0,0,4,0,1,0,0,14,1,0,0,0,0,0,0,27,0,0,0,8,0,1,0,5,0,0,0,52,1,0,0,0,1,0,0,4,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,1,0,16,1,12,0,0,0,9,0,1,0,0,4,3,0,0,0,0,7,60,32,4,0,16,0,0,0,0,30,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,5,0,0,0,1,0,0,0,1,0,0,0,5,0,4,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,0,0,0,1,0,0,7,2,7,6,0,1,0,0,0,26,0,11,3,0,0,6,0,3
