,American,British,Canadian,Caribbeans,Chinese,East_African,East_European,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,Middle_Eastern,North_African,Portuguese_Spanish,Scandinavian,South_African,South_American,South_Asian,Southeast_Asian,West_African,West_European
ing0,wheat_flour,wheat_flour,black_pepper,black_pepper,soy_sauce,onion,butter,butter,cumin,olive_oil,soy_sauce,soy_sauce,olive_oil,cayenne,wheat_flour,olive_oil,olive_oil,butter,black_pepper,onion,garlic,garlic,onion,wheat_flour
ing1,butter,butter,wheat_flour,onion,ginger,olive_oil,wheat_flour,egg,black_pepper,garlic,rice,garlic,garlic,onion,lemon,cumin,garlic,wheat_flour,onion,garlic,onion,lemon,tomato,egg
ing2,egg,egg,butter,garlic,garlic,garlic,egg,wheat_flour,turmeric,black_pepper,vegetable_oil,black_pepper,lemon,garlic,olive_oil,onion,onion,egg,turmeric,cayenne,vegetable_oil,fish,peanut_butter,butter
ing3,black_pepper,milk,egg,cayenne,scallion,black_pepper,onion,black_pepper,onion,tomato,vinegar,sesame_oil,onion,tomato,egg,black_pepper,black_pepper,cream,vinegar,black_pepper,cayenne,black_pepper,cayenne,milk
ing4,onion,cream,onion,vegetable_oil,black_pepper,lemon,black_pepper,milk,coriander,onion,ginger,scallion,tomato,black_pepper,black_pepper,lemon,bell_pepper,black_pepper,fenugreek,tomato,turmeric,cayenne,garlic,black_pepper
ing5,milk,onion,milk,tomato,sesame_oil,cumin,milk,olive_oil,cayenne,basil,wine,sesame_seed,parsley,corn,onion,garlic,tomato,milk,cumin,olive_oil,ginger,vegetable_oil,black_pepper,onion
ing6,garlic,black_pepper,garlic,lemon,vegetable_oil,cayenne,cream,cream,garlic,parmesan_cheese,scallion,beef,black_pepper,cumin,garlic,wheat_flour,egg,almond,coriander,lemon,cumin,rice,vegetable_oil,cinnamon
ing7,vanilla,cane_molasses,cane_molasses,olive_oil,rice,bell_pepper,garlic,garlic,vegetable_oil,macaroni,garlic,cayenne,wheat_flour,lemon,butter,cinnamon,vinegar,vinegar,butter,milk,black_pepper,cilantro,bell_pepper,vinegar
ing8,cream,potato,vegetable_oil,bell_pepper,vinegar,wheat_flour,vegetable_oil,onion,ginger,egg,soybean,vegetable_oil,egg,vegetable_oil,vegetable_oil,coriander,parsley,vanilla,bay,egg,tomato,ginger,potato,lemon
ing9,vegetable_oil,vegetable_oil,vanilla,butter,starch,ginger,potato,lemon,lemon,wheat_flour,sake,onion,bread,cilantro,parsley,cayenne,lemon,onion,milk,corn,cilantro,soy_sauce,olive_oil,vegetable_oil
ing10,lemon,vanilla,tomato,wheat_flour,pork,coriander,tomato,parsley,fenugreek,butter,lemon,vinegar,feta_cheese,wheat_flour,cinnamon,bell_pepper,cayenne,cinnamon,egg,cilantro,cardamom,chicken,cumin,vanilla
ing11,cane_molasses,beef,lemon,thyme,egg,cinnamon,lemon,thyme,cilantro,parsley,egg,rice,butter,cheese,cumin,tomato,wheat_flour,vegetable_oil,beef,cumin,coriander,scallion,chicken_broth,cream
ing12,vinegar,vinegar,vinegar,egg,wine,tomato,vanilla,vanilla,tomato,cheese,black_pepper,ginger,vinegar,cheddar_cheese,tomato,cilantro,milk,cardamom,wheat_flour,vegetable_oil,chicken,coconut,chicken,cane_molasses
ing13,tomato,raisin,cream,vinegar,chicken,cilantro,vinegar,white_wine,yogurt,oregano,sesame_seed,carrot,oregano,bell_pepper,orange,ginger,butter,potato,vegetable_oil,butter,yogurt,onion,rice,potato
ing14,olive_oil,carrot,olive_oil,scallion,cayenne,egg,bell_pepper,tomato,butter,milk,sesame_oil,wine,bell_pepper,oregano,potato,parsley,sherry,lemon,vanilla,wheat_flour,rice,coriander,peanut,nutmeg
ing15,cinnamon,buttermilk,potato,chicken,chicken_broth,chicken,beef,shallot,chicken,lemon,wheat_flour,egg,olive,cream,cayenne,chicken,potato,cane_molasses,raisin,bell_pepper,potato,cumin,coriander,almond
ing16,cocoa,parsley,cinnamon,rice,wheat_flour,butter,yeast,bread,cinnamon,bell_pepper,seaweed,cabbage,red_wine,beef,mint,butter,white_wine,orange,potato,vinegar,cinnamon,vinegar,sweet_potato,apple
ing17,cayenne,mustard,chicken,cane_molasses,soybean,parsley,parsley,vinegar,bell_pepper,cream,barley,soybean,mint,olive_oil,cilantro,olive,pork_sausage,dill,cinnamon,cream,beef,lemongrass,coconut,bread
ing18,bread,lemon,cayenne,celery,cilantro,vegetable_oil,dill,vegetable_oil,rice,mozzarella_cheese,carrot,cane_molasses,milk,egg,carrot,chicken_broth,orange,yeast,apricot,cheese,bell_pepper,turmeric,chickpea,beef
ing19,chicken,lard,bell_pepper,shrimp,peanut_oil,chicken_broth,cabbage,potato,potato,bread,fish,bean,yogurt,chicken,bread,carrot,chicken_broth,mustard,cane_molasses,oregano,lemon,shrimp,carrot,bacon
