,American,British,Canadian,Caribbeans,Chinese,East_African,East_European,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,Middle_Eastern,North_African,Portuguese_Spanish,Scandinavian,South_African,South_American,South_Asian,Southeast_Asian,West_African,West_European
ing0,41,63,44,82,67,53,52,50,60,60,58,78,76,73,44,65,57,64,62,50,82,62,84,69
ing1,41,62,41,59,53,49,51,44,51,52,44,65,49,68,40,52,54,59,56,50,78,56,61,61
ing2,40,50,38,49,49,48,51,37,50,40,39,62,44,62,39,51,46,52,43,41,69,49,61,53
ing3,36,40,35,38,46,47,42,31,49,39,34,56,38,58,38,51,45,28,37,40,69,48,61,33
ing4,29,26,34,32,42,44,41,28,47,32,31,53,34,53,36,48,35,25,37,34,65,41,46,33
ing5,27,25,27,30,38,41,30,27,47,31,28,40,27,31,33,46,34,24,37,28,60,39,46,30
ing6,24,24,27,30,33,34,29,27,46,30,28,40,26,30,30,39,28,18,37,28,60,35,38,21
ing7,19,19,20,27,30,28,23,26,41,28,24,37,25,27,26,38,24,15,37,25,56,35,38,17
ing8,19,18,18,27,29,26,21,25,41,27,20,31,19,25,20,31,24,15,37,25,47,33,30,17
ing9,18,15,17,24,29,26,21,19,28,26,20,31,18,25,19,31,24,15,31,25,43,31,30,16
ing10,17,14,17,22,24,26,16,18,28,26,19,28,17,24,19,31,21,15,31,25,39,29,30,16
ing11,16,12,16,21,24,26,15,17,28,24,19,28,16,20,18,29,17,13,31,22,34,28,30,15
ing12,13,10,15,21,22,24,14,15,27,18,19,28,15,20,15,25,16,13,25,21,34,28,30,15
ing13,13,10,15,20,22,23,13,12,23,16,16,18,15,20,14,24,15,12,25,21,30,27,23,13
ing14,13,10,12,18,20,19,13,12,21,16,15,15,15,19,11,23,13,12,18,20,30,26,23,13
ing15,11,10,11,17,19,19,13,12,20,15,14,15,14,19,11,21,13,12,18,17,30,22,23,13
ing16,10,9,10,16,16,19,12,12,16,15,14,15,12,18,10,18,12,10,18,15,30,21,15,11
ing17,9,9,10,16,14,18,12,11,16,14,14,12,12,17,10,16,12,10,18,14,30,21,15,10
ing18,9,9,10,15,14,17,11,10,15,12,13,12,12,16,10,16,12,9,18,14,26,19,15,10
ing19,8,9,10,14,13,16,10,10,15,12,12,12,11,14,10,16,12,8,12,12,17,17,15,10
