,Country,Cuisine,Unnamed: 1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 2,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 3,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,Canada,Canadian,egg,,,,,,,,,,,yeast,,,,,,,,,,,wheat,,,,milk,lard,,,,
1,Canada,Canadian,pork,,,,,,,,,,,carrot,,,,,,,,,,,pea,,,,onion,potato,,,,
2,Canada,Canadian,maple_syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Canada,Canadian,wheat,,,,,,,,,,,yeast,,,,,,,,,,,almond,,,,honey,oat,date,vegetable_oil,whole_grain_wheat_flour,
4,Canada,Canadian,butter,parsley,ginger,bay,celery,cinnamon,milk,mustard,,,,lovage,,,,,,,,,,,clam,,,,wheat,onion,thyme,potato,yeast,black_pepper
5,Canada,Canadian,cane_molasses,,,,,,,,,,,butter,,,,,,,,,,,wheat,,,,raisin,ginger,lard,egg,milk,cream
6,Canada,Canadian,asparagus,,,,,,,,,,,olive_oil,,,,,,,,,,,pepper,,,,garlic,tomato,,,,
7,Canada,Canadian,butter,,,,,,,,,,,cilantro,,,,,,,,,,,tea,,,,jasmine,vegetable,brown_rice,,,
8,Canada,Canadian,vegetable_oil,,,,,,,,,,,wheat,,,,,,,,,,,egg,,,,milk,,,,,
9,Canada,Canadian,lemon_juice,,,,,,,,,,,onion,,,,,,,,,,,soy_sauce,,,,black_pepper,ginger,white_wine,garlic,vegetable_oil,chicken
10,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,vanilla,egg,milk,,,
11,Canada,Canadian,butter,basil,porcini,,,,,,,,,olive_oil,,,,,,,,,,,pepper,,,,rice,mushroom,onion,chicken_broth,thyme,garlic
12,Canada,Canadian,tomato,,,,,,,,,,,onion,,,,,,,,,,,black_pepper,,,,garlic,mozzarella_cheese,tuna,rice,,
13,Canada,Canadian,wheat,,,,,,,,,,,lard,,,,,,,,,,,,,,,,,,,,
14,Canada,Canadian,butter,cream,,,,,,,,,,pepper,,,,,,,,,,,lemon,,,,beef,fish,parsley,white_wine,basil,wheat
15,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,vanilla,cocoa,egg,milk,,
16,Canada,Canadian,vegetable_oil,,,,,,,,,,,potato,,,,,,,,,,,,,,,,,,,,
17,Canada,Canadian,tomato,garlic,oregano,mozzarella_cheese,rosemary,,,,,,,olive_oil,,,,,,,,,,,pork,,,,green_bell_pepper,onion,mushroom,thyme,white_wine,basil
18,Canada,Canadian,cane_molasses,,,,,,,,,,,wheat,,,,,,,,,,,yeast,,,,raisin,oat,cinnamon,lard,,
19,Canada,Canadian,tomato,,,,,,,,,,,olive_oil,,,,,,,,,,,mushroom,,,,black_pepper,garlic,oregano,basil,rosemary,
20,Canada,Canadian,butter,,,,,,,,,,,coffee,,,,,,,,,,,wheat,,,,vanilla,cocoa,egg,banana,,
21,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,yeast,milk,whole_grain_wheat_flour,,,
22,Canada,Canadian,butter,,,,,,,,,,,onion,,,,,,,,,,,potato,,,,chicken_broth,black_pepper,squash,celery,carrot,
23,Canada,Canadian,onion,broccoli,,,,,,,,,,mushroom,,,,,,,,,,,egg_noodle,,,,black_pepper,celery,bell_pepper,mozzarella_cheese,chicken,cheddar_cheese
24,Canada,Canadian,butter,celery,chicken,soy_sauce,cream,,,,,,,pepper,,,,,,,,,,,wheat,,,,onion,potato,asparagus,chicken_broth,black_pepper,milk
25,Canada,Canadian,whole_grain_wheat_flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Canada,Canadian,chicken,,,,,,,,,,,garlic,,,,,,,,,,,soy_sauce,,,,ginger,,,,,
27,Canada,Canadian,tomato,vegetable_oil,garlic,cheddar_cheese,egg,cream,,,,,,green_bell_pepper,,,,,,,,,,,onion,,,,cayenne,scallion,lettuce,cucumber,bell_pepper,cream_cheese
28,Canada,Canadian,cane_molasses,,,,,,,,,,,wheat,,,,,,,,,,,vanilla,,,,cocoa,lard,egg,,,
29,Canada,Canadian,melon,,,,,,,,,,,cranberry,,,,,,,,,,,,,,,,,,,,
30,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,peanut,vanilla,cocoa,egg,banana,cream
31,Canada,Canadian,vegetable_oil,,,,,,,,,,,wheat,,,,,,,,,,,yeast,,,,,,,,,
32,Canada,Canadian,cocoa,,,,,,,,,,,egg,,,,,,,,,,,,,,,,,,,,
33,Canada,Canadian,nut,,,,,,,,,,,chickpea,,,,,,,,,,,garlic,,,,yogurt,vegetable_oil,chicken,bread,,
34,Canada,Canadian,butter,cod,rice,milk,cayenne,,,,,,,tomato,,,,,,,,,,,green_bell_pepper,,,,wheat,onion,tabasco_pepper,black_pepper,celery,garlic
35,Canada,Canadian,butter,pimento,pepper,brown_rice,,,,,,,,pork,,,,,,,,,,,wheat,,,,onion,mushroom,almond,bacon,parsley,celery
36,Canada,Canadian,black_tea,,,,,,,,,,,grapefruit,,,,,,,,,,,orange_juice,,,,ginger,pineapple,,,,
37,Canada,Canadian,vinegar,sesame_seed,soybean,rice,thai_pepper,,,,,,,pepper,,,,,,,,,,,sesame_oil,,,,beef,sake,soy_sauce,scallion,honey,garlic
38,Canada,Canadian,cane_molasses,cream,,,,,,,,,,wheat,,,,,,,,,,,yeast,,,,ginger,nutmeg,cinnamon,pumpkin,egg,milk
39,Canada,Canadian,wheat,,,,,,,,,,,yeast,,,,,,,,,,,,,,,,,,,,
40,Canada,Canadian,beef,,,,,,,,,,,soy_sauce,,,,,,,,,,,bay,,,,garlic,rosemary,roasted_beef,,,
41,Canada,Canadian,olive_oil,,,,,,,,,,,pepper,,,,,,,,,,,fish,,,,ginger,scallion,garlic,soy_sauce,,
42,Canada,Canadian,tomato,cinnamon,,,,,,,,,,beef,,,,,,,,,,,onion,,,,mushroom,egg_noodle,black_pepper,scallion,cottage_cheese,cheddar_cheese
43,Canada,Canadian,butter,,,,,,,,,,,olive_oil,,,,,,,,,,,onion,,,,red_wine,black_pepper,bell_pepper,basil,,
44,Canada,Canadian,pepper,basil,vegetable_oil,egg,banana,bread,,,,,,mushroom,,,,,,,,,,,thyme,,,,potato,rosemary,salmon,scallion,bell_pepper,oregano
45,Canada,Canadian,butter,bell_pepper,pepper,chicken,nut,turmeric,,,,,,coriander,,,,,,,,,,,coconut,,,,onion,fenugreek,soy_sauce,starch,cumin,garlic
46,Canada,Canadian,butter,ginger,garlic,chicken,soy_sauce,,,,,,,tomato,,,,,,,,,,,cane_molasses,,,,wheat,celery_oil,onion,vinegar,corn,orange_juice
47,Canada,Canadian,cocoa,,,,,,,,,,,wheat,,,,,,,,,,,egg,,,,lard,,,,,
48,Canada,Canadian,tomato,egg,milk,,,,,,,,,olive_oil,,,,,,,,,,,wheat,,,,onion,vinegar,black_pepper,bell_pepper,vegetable_oil,chicken
49,Canada,Canadian,cheese,,,,,,,,,,,black_pepper,,,,,,,,,,,port_wine,,,,honey,pecan,cream_cheese,chive,,
50,Canada,Canadian,cane_molasses,seed,whole_grain_wheat_flour,,,,,,,,,lemon_juice,,,,,,,,,,,wheat,,,,apple,yeast,honey,oat,vegetable_oil,egg
51,Canada,Canadian,olive_oil,,,,,,,,,,,pepper,,,,,,,,,,,onion,,,,vinegar,soy_sauce,black_pepper,pork,bell_pepper,
52,Canada,Canadian,butter,,,,,,,,,,,coconut,,,,,,,,,,,wheat,,,,starch,almond,cocoa,egg,cream,
53,Canada,Canadian,cane_molasses,vegetable_oil,tamarind,tarragon,,,,,,,,vinegar,,,,,,,,,,,thyme,,,,onion,black_pepper,white_wine,mustard,garlic,bell_pepper
54,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,apple,maple_syrup,oat,,,
55,Canada,Canadian,tomato,bread,,,,,,,,,,vinegar,,,,,,,,,,,onion,,,,beef,cayenne,black_pepper,garlic,bell_pepper,milk
56,Canada,Canadian,tomato,garlic,tamarind,mustard,,,,,,,,vinegar,,,,,,,,,,,cane_molasses,,,,lemon_juice,celery_oil,onion,corn,black_pepper,celery
57,Canada,Canadian,onion,,,,,,,,,,,black_pepper,,,,,,,,,,,squash,,,,ginger,garlic,sweet_potato,yogurt,,
58,Canada,Canadian,tomato,cayenne,parsley,garlic,vegetable_oil,chicken,egg,tamarind,,,,cane_molasses,,,,,,,,,,,pepper,,,,lemon_juice,wheat,onion,vinegar,black_pepper,starch
59,Canada,Canadian,lemon_juice,cream,,,,,,,,,,lemon,,,,,,,,,,,mustard,,,,onion,parsley,cucumber,chive,vegetable_oil,egg
60,Canada,Canadian,tomato,honey,garlic,roasted_beef,,,,,,,,vinegar,,,,,,,,,,,pepper,,,,mustard,onion,sake,soy_sauce,black_pepper,ginger
61,Canada,Canadian,pork,pork_sausage,,,,,,,,,,onion,,,,,,,,,,,black_bean,,,,chicken_broth,pepper,bay,garlic,bell_pepper,vegetable_oil
62,Canada,Canadian,berry,,,,,,,,,,,wheat,,,,,,,,,,,vanilla,,,,maple_syrup,cinnamon,yogurt,egg,milk,whole_grain_wheat_flour
63,Canada,Canadian,butter,cream,,,,,,,,,,pepper,,,,,,,,,,,wheat,,,,mustard,mushroom,swiss_cheese,lobster,bread,milk
64,Canada,Canadian,pepper,,,,,,,,,,,wheat,,,,,,,,,,,onion,,,,bay,celery,chicken,egg,,
65,Canada,Canadian,butter,,,,,,,,,,,asparagus,,,,,,,,,,,black_pepper,,,,parmesan_cheese,lettuce,vegetable_oil,egg,bread,
66,Canada,Canadian,vinegar,,,,,,,,,,,wheat,,,,,,,,,,,mustard,,,,onion,seed,cucumber,turmeric,,
67,Canada,Canadian,egg,,,,,,,,,,,wheat,,,,,,,,,,,vegetable_oil,,,,,,,,,
68,Canada,Canadian,olive_oil,,,,,,,,,,,pepper,,,,,,,,,,,lemon_juice,,,,potato,garlic,oregano,,,
69,Canada,Canadian,cheese,milk,cream,,,,,,,,,wheat,,,,,,,,,,,yeast,,,,tabasco_pepper,black_pepper,parmesan_cheese,scallion,crab,egg
70,Canada,Canadian,butter,,,,,,,,,,,pepper,,,,,,,,,,,chicken_liver,,,,onion,bacon,garlic,veal,milk,cream
71,Canada,Canadian,butter,,,,,,,,,,,lemon,,,,,,,,,,,vanilla,,,,wheat,egg,milk,,,
72,Canada,Canadian,vinegar,vegetable_oil,macaroni,chicken,shiitake,wine,,,,,,sesame_oil,,,,,,,,,,,starch,,,,chicken_broth,black_pepper,ginger,scallion,soy_sauce,garlic
73,Canada,Canadian,tomato,milk,,,,,,,,,,onion,,,,,,,,,,,beef,,,,black_pepper,buttermilk,garlic,oregano,cheddar_cheese,egg
74,Canada,Canadian,vinegar,banana,,,,,,,,,,cilantro,,,,,,,,,,,lemon_juice,,,,onion,avocado,pepper,honey,fennel,cucumber
75,Canada,Canadian,butter,,,,,,,,,,,pepper,,,,,,,,,,,wheat,,,,onion,tarragon,parmesan_cheese,white_wine,garlic,
76,Canada,Canadian,orange_peel,,,,,,,,,,,orange,,,,,,,,,,,apple,,,,cranberry,,,,,
77,Canada,Canadian,cane_molasses,,,,,,,,,,,butter,,,,,,,,,,,coconut,,,,wheat,walnut,egg,,,
78,Canada,Canadian,vanilla,,,,,,,,,,,carrot,,,,,,,,,,,milk,,,,cream,,,,,
79,Canada,Canadian,grape,,,,,,,,,,,orange_juice,,,,,,,,,,,melon,,,,fruit,pineapple,yogurt,papaya,banana,
80,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,vanilla,orange_juice,raisin,oat,nutmeg,egg
81,Canada,Canadian,tomato,bread,egg,milk,celery_oil,,,,,,,vinegar,,,,,,,,,,,pepper,,,,onion,beef,corn,cane_molasses,garlic,peach
82,Canada,Canadian,butter,sweet_potato,hazelnut,pecan,egg,vanilla,cream,,,,,cane_molasses,,,,,,,,,,,wheat,,,,yeast,corn,ginger,milk,nutmeg,cinnamon
83,Canada,Canadian,butter,cream,,,,,,,,,,wheat,,,,,,,,,,,onion,,,,potato,black_pepper,parsley,bay,egg,milk
84,Canada,Canadian,butter,,,,,,,,,,,wheat,,,,,,,,,,,peach,,,,vanilla,almond,pecan,cinnamon,cream_cheese,egg
85,Canada,Canadian,tomato,fish,lime_juice,pepper,basil,fennel,garlic,orange,macaroni,tamarind,cream,olive_oil,,,,,,,,,,,cane_molasses,,,,lemon_juice,wheat,thyme,onion,vinegar,shallot
86,Canada,Canadian,cane_molasses,tamarind,,,,,,,,,,olive_oil,,,,,,,,,,,pepper,,,,grape_juice,mustard,onion,vinegar,soy_sauce,garlic
87,Canada,Canadian,butter,egg,cream,,,,,,,,,wheat,,,,,,,,,,,mustard,,,,onion,raisin,parsley,cucumber,chive,vegetable_oil
88,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,coconut,,,,wheat,cherry,walnut,milk,,
89,Canada,Canadian,vanilla,,,,,,,,,,,milk,,,,,,,,,,,starch,,,,,,,,,
90,Canada,Canadian,butter,milk,,,,,,,,,,cheese,,,,,,,,,,,pepper,,,,parmesan_cheese,garlic,bell_pepper,blue_cheese,macaroni,cheddar_cheese
91,Canada,Canadian,sesame_oil,pea,,,,,,,,,,peanut,,,,,,,,,,,soy_sauce,,,,cayenne,ginger,carrot,garlic,soybean,cabbage
92,Canada,Canadian,butter,,,,,,,,,,,coffee,,,,,,,,,,,wheat,,,,starch,vanilla,cocoa,vegetable_oil,egg,milk
93,Canada,Canadian,vinegar,broccoli,wine,,,,,,,,,beef,,,,,,,,,,,starch,,,,soy_sauce,orange_juice,ginger,garlic,orange,rice
94,Canada,Canadian,vinegar,chive,vegetable_oil,egg,cream,,,,,,,mustard,,,,,,,,,,,onion,,,,starch,vanilla,parsley,cocoa,strawberry,cucumber
95,Canada,Canadian,butter,,,,,,,,,,,potato_chip,,,,,,,,,,,cheddar_cheese,,,,wheat,mustard,,,,
96,Canada,Canadian,coconut,,,,,,,,,,,rice,,,,,,,,,,,starch,,,,sesame_seed,mango,,,,
97,Canada,Canadian,tomato,bay,celery,fennel,garlic,smoke,tamarind,kidney_bean,pork_sausage,,,cane_molasses,,,,,,,,,,,ham,,,,onion,potato,black_pepper,vinegar,tabasco_pepper,parsley
98,Canada,Canadian,onion,,,,,,,,,,,bacon,,,,,,,,,,,tabasco_pepper,,,,black_pepper,cheddar_cheese,egg,milk,,
99,Canada,Canadian,tomato,,,,,,,,,,,feta_cheese,,,,,,,,,,,lime_juice,,,,garlic,avocado,,,,
100,Canada,Canadian,butter,chicken,turmeric,,,,,,,,,coriander,,,,,,,,,,,pepper,,,,onion,fenugreek,cumin,mango,garlic,tomato
101,Canada,Canadian,olive_oil,,,,,,,,,,,pepper,,,,,,,,,,,lemon_juice,,,,oregano,,,,,
102,Canada,Canadian,onion,,,,,,,,,,,beef,,,,,,,,,,,starch,,,,soy_sauce,black_pepper,mozzarella_cheese,vegetable_oil,bread,
103,Canada,Canadian,olive_oil,,,,,,,,,,,almond,,,,,,,,,,,vinegar,,,,red_wine,bacon,garlic,blue_cheese,,
104,Canada,Canadian,butter,,,,,,,,,,,marjoram,,,,,,,,,,,wheat,,,,onion,potato,parsley,chicken,cheddar_cheese,milk
105,Canada,Canadian,yogurt,,,,,,,,,,,egg,,,,,,,,,,,vanilla,,,,wheat,butter,,,,
106,Canada,Canadian,tomato,,,,,,,,,,,wheat,,,,,,,,,,,raisin,,,,nutmeg,cinnamon,lard,,,
107,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,cherry,vanilla,egg,,,
108,Canada,Canadian,starch,,,,,,,,,,,cheddar_cheese,,,,,,,,,,,milk,,,,beef,meat,,,,
109,Canada,Canadian,olive_oil,,,,,,,,,,,black_pepper,,,,,,,,,,,egg,,,,onion,potato,,,,
110,Canada,Canadian,wheat,,,,,,,,,,,apple,,,,,,,,,,,yeast,,,,rhubarb,blackberry,raspberry,egg,milk,
111,Canada,Canadian,tomato,,,,,,,,,,,cheese,,,,,,,,,,,wheat,,,,onion,black_bean,cayenne,cumin,garlic,
112,Canada,Canadian,tomato,,,,,,,,,,,cane_molasses,,,,,,,,,,,clam,,,,onion,beef,vinegar,tabasco_pepper,celery,tamarind
113,Canada,Canadian,butter,,,,,,,,,,,wheat,,,,,,,,,,,vanilla,,,,cocoa,oat,egg,,,
114,Canada,Canadian,cane_molasses,,,,,,,,,,,pepper,,,,,,,,,,,lime_juice,,,,cinnamon,sweet_potato,vegetable_oil,,,
115,Canada,Canadian,cane_molasses,vanilla,,,,,,,,,,butter,,,,,,,,,,,coconut,,,,corn,raisin,cocoa,oat,peanut_butter,seed
116,Canada,Canadian,olive_oil,lard,vegetable,rice,tomato,pepper,wheat,mustard,mushroom,starch,corn,soybean,black_pepper,garlic,butter,vinegar,meat,onion,potato,bay,bell_pepper,egg,chicken,,,,milk,whole_grain_wheat_flour,yeast,parsley,celery,barley
117,Canada,Canadian,grape_juice,milk,cinnamon,,,,,,,,,cream,,,,,,,,,,,vanilla,,,,blueberry,strawberry,berry,blackberry,rice,egg
118,Canada,Canadian,butter,,,,,,,,,,,olive_oil,,,,,,,,,,,wheat,,,,black_pepper,garlic,nutmeg,milk,,
119,Canada,Canadian,pork,,,,,,,,,,,wheat,,,,,,,,,,,beef,,,,potato,black_pepper,nutmeg,egg,,
120,Canada,Canadian,cane_molasses,tamarind,cheddar_cheese,mustard,,,,,,,,vinegar,,,,,,,,,,,pepper,,,,wheat,beef,onion,potato,garlic,vegetable
121,Canada,Canadian,wheat,,,,,,,,,,,onion,,,,,,,,,,,yeast,,,,bacon,black_pepper,nutmeg,egg,milk,cream
122,Canada,Canadian,butter,,,,,,,,,,,cocoa,,,,,,,,,,,potato,,,,peppermint,lard,,,,
123,Canada,Canadian,cane_molasses,,,,,,,,,,,wheat,,,,,,,,,,,vanilla,,,,raisin,buttermilk,vegetable_oil,egg,,
124,Canada,Canadian,butter,,,,,,,,,,,cane_molasses,,,,,,,,,,,wheat,,,,maple_syrup,,,,,
125,Canada,Canadian,mozzarella_cheese,,,,,,,,,,,egg,,,,,,,,,,,rice,,,,tabasco_pepper,,,,,
126,Canada,Canadian,butter,milk,cream,,,,,,,,,pepper,,,,,,,,,,,wheat,,,,corn,soy_sauce,parsley,scallion,milk_fat,crab
